time	I(R1)
3.203845134703443e-001	2.134049e-005
3.828845134703443e-001	2.408491e-005
4.492907634703443e-001	2.650789e-005
5.186267009703443e-001	2.849919e-005
5.908923259703443e-001	2.999158e-005
6.641345134703443e-001	3.089820e-005
7.432360759703443e-001	3.121532e-005
9.785876384703443e-001	3.158993e-005
9.990954509703443e-001	3.162416e-005
1.000000000000000e+000	3.162567e-005
Step Information: V2=1.8  (Run: 9/10)
0.000000000000000e+000	0.000000e+000
1.081420097034425e-002	9.863685e-007
2.839232597034425e-002	2.557747e-006
5.280638847034425e-002	4.675197e-006
8.405638847034425e-002	7.276630e-006
1.221423259703443e-001	1.028420e-005
1.670642009703443e-001	1.360500e-005
2.178454509703443e-001	1.706806e-005
2.744860759703443e-001	2.057165e-005
3.369860759703443e-001	2.400380e-005
4.043688884703443e-001	2.719970e-005
4.756579509703443e-001	3.001616e-005
5.498767009703443e-001	3.233551e-005
6.270251384703443e-001	3.408647e-005
7.051501384703443e-001	3.517533e-005
7.862048259703443e-001	3.558493e-005
9.785876384703443e-001	3.593007e-005
9.990954509703443e-001	3.596842e-005
1.000000000000000e+000	3.597012e-005
Step Information: V2=2  (Run: 10/10)
0.000000000000000e+000	0.000000e+000
1.081420097034425e-002	1.046108e-006
2.936888847034425e-002	2.806225e-006
5.475951347034425e-002	5.144278e-006
8.796263847034425e-002	8.080429e-006
1.280017009703443e-001	1.144102e-005
1.748767009703443e-001	1.512917e-005
2.285876384703443e-001	1.903381e-005
2.891345134703443e-001	2.302991e-005
3.555407634703443e-001	2.692513e-005
4.268298259703443e-001	3.054544e-005
5.020251384703443e-001	3.373994e-005
5.811267009703443e-001	3.641335e-005
6.631579509703443e-001	3.844476e-005
7.471423259703443e-001	3.974413e-005
8.321032634703443e-001	4.025672e-005
9.785876384703443e-001	4.055061e-005
9.990954509703443e-001	4.059319e-005
1.000000000000000e+000	4.059507e-005
